Match Number,Round Number,Date,Location,Home Team,Away Team,Result
131,14,03/12/2023 15:00,Artemio Franchi,Fiorentina,Salernitana,3 - 0
140,14,03/12/2023 15:00,Friuli,Udinese,Hellas Verona,3 - 3
138,14,03/12/2023 18:00,Mapei Stadium - Città del Tricolore,Sassuolo,Roma,1 - 2
137,14,03/12/2023 20:45,Diego Armando Maradona,Napoli,Inter,0 - 3
139,14,04/12/2023 20:45,Olimpico Grande Torino,Torino,Atalanta,3 - 0
146,15,08/12/2023 20:45,Juventus Stadium,Juventus,Napoli,1 - 0
150,15,09/12/2023 15:00,Marcantonio Bentegodi,Hellas Verona,Lazio,1 - 1
141,15,09/12/2023 18:00,Atleti Azzurri d'Italia,Atalanta,Milan,3 - 2
145,15,09/12/2023 20:45,San Siro,Inter,Udinese,4 - 0
144,15,10/12/2023 12:30,Benito Stirpe,Frosinone,Torino,0 - 0
147,15,10/12/2023 15:00,Brianteo,Monza,Genoa,1 - 0
149,15,10/12/2023 18:00,Arechi,Salernitana,Bologna,1 - 2
148,15,10/12/2023 20:45,Olimpico,Roma,Fiorentina,1 - 1
143,15,11/12/2023 18:30,Carlo Castellani,Empoli,Lecce,1 - 1
142,15,11/12/2023 20:45,Unipol Domus,Cagliari,Sassuolo,2 - 1
154,16,15/12/2023 20:45,Luigi Ferraris,Genoa,Juventus,1 - 1
156,16,16/12/2023 15:00,Ettore Giardiniero - Via del mare,Lecce,Frosinone,2 - 1
158,16,16/12/2023 18:30,Diego Armando Maradona,Napoli,Cagliari,2 - 1
159,16,16/12/2023 20:45,Olimpico Grande Torino,Torino,Empoli,1 - 0
157,16,17/12/2023 12:30,San Siro,Milan,Monza,3 - 0
153,16,17/12/2023 15:00,Artemio Franchi,Fiorentina,Hellas Verona,1 - 0
160,16,17/12/2023 15:00,Friuli,Udinese,Sassuolo,2 - 2
152,16,17/12/2023 18:00,Renato Dall'Ara,Bologna,Roma,2 - 0
155,16,17/12/2023 20:45,Olimpico,Lazio,Inter,0 - 2
151,16,18/12/2023 20:45,Atleti Azzurri d'Italia,Atalanta,Salernitana,4 - 1
166,17,22/12/2023 18:30,Mapei Stadium - Città del Tricolore,Sassuolo,Genoa,1 - 2
170,17,22/12/2023 18:30,Carlo Castellani,Empoli,Lazio,0 - 2
163,17,22/12/2023 20:45,Brianteo,Monza,Fiorentina,0 - 1
165,17,22/12/2023 20:45,Arechi,Salernitana,Milan,2 - 2
161,17,23/12/2023 12:30,Benito Stirpe,Frosinone,Juventus,1 - 2
167,17,23/12/2023 15:00,Olimpico Grande Torino,Torino,Udinese,1 - 1
169,17,23/12/2023 15:00,Renato Dall'Ara,Bologna,Atalanta,1 - 0
162,17,23/12/2023 18:00,San Siro,Inter,Lecce,2 - 0
168,17,23/12/2023 18:00,Marcantonio Bentegodi,Hellas Verona,Cagliari,2 - 0
164,17,23/12/2023 20:45,Olimpico,Roma,Napoli,2 - 0
173,18,29/12/2023 18:30,Artemio Franchi,Fiorentina,Torino,1 - 0
178,18,29/12/2023 18:30,Diego Armando Maradona,Napoli,Monza,0 - 0
174,18,29/12/2023 20:45,Luigi Ferraris,Genoa,Inter,1 - 1
